frame,path,two_theta,normalized_intensity,prominence,width_deg,peak_group,group_two_theta,delta_from_group,source_methods,source_count,confidence_tier,tier_score,accepted_standard,raw_intensity,residual_height,conventional_prominence,matched_filter_responses,best_matched_scale,best_matched_response,local_center_height,left_side_rise,right_side_rise,two_sided_contrast,local_noise,local_shape_snr,local_slope,local_curvature,width_estimate_deg,nearest_stronger_peak_deg,likely_shoulder,top_peaks_truncated
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,14.368351,0.000396744,0.000396744,0.0306445,,,,shoulder,1,C,100,0,0.109895,-0.0154272,0.000396744,,,0,-0.0264063,0.00539379,-0.014794,-0.014794,0.0226236,-0.65392,-0.281182,0.00017053,0.0306445,0.110708,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,14.415797,5.34054e-05,5.34054e-05,0.0239358,,,,shoulder,1,C,100,0,0.108483,-0.0163807,5.34054e-05,,,0,-0.0137502,0.00863124,-0.00954178,-0.00954178,0.018416,-0.518125,-0.170518,-5.91188e-05,0.0239358,0.0474464,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,14.510690,0.23322,0.23322,0,,,,matched,1,C,100.737,0,0.108141,-0.0152204,0,w3:0.23322,3,0.23322,-0.000590568,4.73376e-05,0.000159938,4.73376e-05,0.000940448,0.0503351,-0.00109506,4.91794e-05,0,0.0158155,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,14.558137,0.000196187,0.000196187,0.0300565,,,,shoulder,1,C,100,0,0.107827,-0.0143382,0.000196187,,,0,-0.00126684,-0.000878895,0.000189408,-0.000878895,0.000808293,-1.08735,0.0116158,8.52856e-05,0.0300565,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,14.637214,0.000550978,0.000550978,0.0338847,,,,shoulder,1,C,100.001,0,0.109371,-0.0103058,0.000550978,,,0,-0.00036055,0.000555187,-1.78054e-05,-1.78054e-05,0.0011794,-0.015097,0.0115914,0.000160638,0.0338847,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,14.858630,0.000256303,0.000256303,0.0154451,,,,raw,1,C,100,0,0.106841,-0.0115798,0.000256303,,,0,-0.0230633,-0.0120301,0.00368859,-0.0120301,0.0181258,-0.663702,0.193881,-8.75655e-05,0.0154451,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,14.874446,0.000715732,0.000715732,0.040004,,,,shoulder,1,C,100.001,0,0.106585,-0.0111274,0.000715732,,,0,-0.0240299,-0.0110238,0.00336734,-0.0110238,0.0181739,-0.606572,0.189746,0.000173891,0.040004,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,15.080047,0.00832746,0.00482679,0.0464746,,,,shoulder,1,C,100.261,0,0.122937,0.00832746,0.00482679,,,0,-0.0066114,0.000260272,0.00230833,0.000260272,0.0101645,0.0256059,-0.185268,0.00142679,0.0464746,0.0316309,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,15.159124,0.000119528,0.000119528,0.0242088,,,,shoulder,1,C,100,0,0.107933,-0.00664092,0.000119528,,,0,-0.0107401,-1.51205e-05,-0.00567481,-0.00567481,0.00690012,-0.822422,-0.143078,-9.13488e-05,0.0242088,0.0790773,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,15.238202,0.000141174,0.000141174,0.00900955,,,,raw,1,C,100,0,0.105231,-0.00771858,0.000141174,,,0,-0.00388711,-1.22176e-05,-0.00173141,-0.00173141,0.00237818,-0.72804,-0.0296278,-6.85543e-05,0.00900955,0.0316309,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,15.254017,0.00013285,0.00013285,0.0315937,,,,shoulder,1,C,100,0,0.104218,-0.00722751,0.00013285,,,0,-0.0040717,-0.000895569,-5.48502e-05,-0.000895569,0.00229108,-0.390893,-0.00421485,-5.34204e-05,0.0315937,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,15.269833,0.681709,0.681709,0,,,,matched,1,C,100.682,0,0.104563,-0.00686523,0,w3:0.681709,3,0.681709,-0.00492743,-0.00206225,0.000715928,-0.00206225,0.00643099,-0.320674,0.0220652,-0.00018627,0,0.0158155,1,0
